"Отметка времени","Какой у вас уровень владения C++?  Вопрос без заголовка","Какие основные концепции C++ вам знакомы? (можно выбрать несколько)","Какие IDE или текстовые редакторы вы используете для разработки на C++? (например, Visual Studio, CLion, VS Code, Code::Blocks)","Какие алгоритмы сортировки вы реализовали на практике?","Какие структуры данных вы используете чаще всего?","С какими алгоритмами поиска вы знакомы?","Реализовали ли вы на практике какие-либо известные алгоритмы? Если да, то какие?( (например, Дейкстра, Кнут-Моррис-Пратт, Прим, Флойд-Уоршелл)  )","Какой самый сложный проект, связанный с алгоритмами и структурами данных, вы реализовывали?
(опишите кратко)","Используете ли вы STL при работе с C++? Если да, то какие контейнеры чаще всего?","Как часто вы участвуете в конкурсах или соревнованиях по программированию?","Насколько хорошо вы понимаете сложность алгоритмов (Big O)?","Какие темы вам было бы интересно изучить глубже?"
"2024/12/05 7:16:08 PM GMT+8","Новичок","STL","Vs code","Пузырьковая сортировка","Массивы","Линейный поиск","Нет","Сдавать лабораторные ","Vector","Никогда","Совсем не знаком","Оптимизация алгоритмов"
"2024/12/05 7:22:18 PM GMT+8","Эксперт","Работа с указателями;ООП;STL;Лямбда-функции;Многопоточность","Visual Studio","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Хеш-таблицы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS);Другие"," Дейкстра, Кнут-Моррис-Пратт, Прим, Флойд-Уоршелл, Дерево отрезков","Оптимизация моделирования ","Map/Unordered Map","Всегда участвую","Эксперт","Разработка алгоритмов с использованием C++"
"2024/12/05 7:25:44 PM GMT+8","Средний","STL;Лямбда-функции","VS Code,","Пузырьковая сортировка;Быстрая сортировка","Деревья","Линейный поиск;Бинарный поиск","Кнут-Моррис-Пратт","Оптимизация ","Vector","Иногда","Знаком с базовыми понятиями","Работа с графами"
"2024/12/05 7:31:35 PM GMT+8","Средний","ООП;STL;Лямбда-функции","Code::Blocks","Пузырьковая сортировка;Сортировка слиянием","Списки","Линейный поиск;Поиск в графах (DFS, BFS)","Матричные вычисления","Матричные вычисления","Vector","Иногда","Понимаю и применяю на практике","Работа с графами"
"2024/12/05 7:38:27 PM GMT+8","Продвинутый","Работа с указателями;ООП;STL;Лямбда-функции","Visual Studio","Пузырьковая сортировка;Сортировка слиянием;Пирамидальная сортировка","Графы","Бинарный поиск;Поиск в графах (DFS, BFS);Другие","Симплекс-метод","Двухмерное дерево ","Stack/Queue","Регулярно","Знаком с базовыми понятиями","Алгоритмы динамического программирования"
"2024/12/05 7:42:12 PM GMT+8","Средний","Работа с указателями;ООП;Лямбда-функции;Многопоточность","Visual Studio, VS Code, Code::Blocks","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Массивы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS);Другие","Дейкстра, Кнут-Моррис-Пратт, Прим, Флойд-Уоршелл","Крестики нолики","Vector","Регулярно","Понимаю и применяю на практике","Другие"
"2024/12/05 7:42:13 PM GMT+8","Продвинутый","Работа с указателями;ООП;STL;Лямбда-функции","CLion","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Другие","Хеш-таблицы","Бинарный поиск;Поиск в графах (DFS, BFS);Другие","Прим, Краскал","дерево отрезков","Map/Unordered Map","Регулярно","Понимаю и применяю на практике","Другие"
"2024/12/05 7:44:35 PM GMT+8","Новичок","STL;Лямбда-функции","Code::Blocks","Пузырьковая сортировка;Быстрая сортировка","Массивы","Линейный поиск;Бинарный поиск","Никакие","Бин поиск","Vector","Никогда","Совсем не знаком","Оптимизация алгоритмов"
"2024/12/05 7:48:26 PM GMT+8","Эксперт","Работа с указателями;ООП;STL;Лямбда-функции;Многопоточность","Visual Studio, VS Code","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Хеш-таблицы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS);Другие;Не знаком","Евклида, Эратосфен, Форд-Белмон, Краскал, Кун,","Дипломная работа","Map/Unordered Map","Никогда","Эксперт","Другие"
"2024/12/05 7:49:13 PM GMT+8","Средний","STL;Лямбда-функции","Visual Studio","Сортировка слиянием;Пирамидальная сортировка","Хеш-таблицы","Линейный поиск;Бинарный поиск","Дейкстра","нахождение сокровищ на карте","Stack/Queue","Иногда","Знаком с базовыми понятиями","Алгоритмы динамического программирования"
"2024/12/05 7:51:22 PM GMT+8","Средний","ООП;STL;Лямбда-функции","Visual Studio","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Списки","Линейный поиск;Бинарный поиск","Дейкстра, ","Курсач","Vector","Никогда","Знаком с базовыми понятиями","Работа с графами"
"2024/12/05 7:54:05 PM GMT+8","Продвинутый","Работа с указателями;ООП;STL;Лямбда-функции"," Visual Studio","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Массивы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS);Другие","Дейкстра, Кнут-Моррис-Пратт","Задача на олимпиадке","Set","Регулярно","Знаком с базовыми понятиями","Алгоритмы динамического программирования"
"2024/12/05 7:58:33 PM GMT+8","Продвинутый","Работа с указателями;STL;Лямбда-функции"," Visual Studio,","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Массивы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS);Другие","Дейкстра, КМП, Прим, Флойд-Уоршел, Форд-Белмон, СНМ, Грэкхем-Эндрю","Задача на олимпе","Vector","Всегда участвую","Эксперт","Другие"
"2024/12/05 8:04:11 PM GMT+8","Средний","ООП;Лямбда-функции;Многопоточность","Visual Studio, VS Code, Code:: Blocks","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Массивы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS)","Решето-Эратосфена,Основная теорема Арифметики","Дерево Хенвика","Vector","Никогда","Совсем не знаком","Работа с графами"
"2024/12/05 8:09:54 PM GMT+8","Продвинутый","Работа с указателями;ООП;STL;Многопоточность","Visual Studio, CLion, VS Code, Code::Blocks","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Массивы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS);Другие","алгоритм Грэхэма-Эндрю,Сортировка,Динамическое программирование,Поиск","Интерполяционный поиск","Stack/Queue","Иногда","Знаком с базовыми понятиями","Алгоритмы динамического программирования"
"2024/12/05 8:16:48 PM GMT+8","Продвинутый","Работа с указателями;ООП;STL;Лямбда-функции;Многопоточность","Visual Studio, VS Code","Пузырьковая сортировка;Быстрая сортировка;Сортировка слиянием;Пирамидальная сортировка;Другие","Хеш-таблицы","Линейный поиск;Бинарный поиск;Поиск в графах (DFS, BFS);Другие","Алгоритм поиска,сортировка, динамическое программирование,Жадные алгоритмы","алгоритм Кнута-Морриса-Прата","Stack/Queue","Иногда","Понимаю и применяю на практике","Разработка алгоритмов с использованием C++"
